Operator,Well Name,Formation,Lateral Length,Stages,Township ,Range,Section,"Total Prop, lbs","Fluid, bbls",Date Fracd,Compl. Type,Latitude,Longitude,Fluid Type from DI,SPACING_CAPPED,12 month Cum Prod,Best1 Mo BOPD,Best3 Mo BOPD,Best6 Mo BOPD,Best9 Mo BOPD,Best12 Mo BOPD
Operator 23,Well 3892,MBH,9465,32,149,97,30,3481951,52027,3/25/2013,Sleeves,47.70206768,-103.1467547,,660,91.42,433.5963182,395.2333991,338.5218058,290.2586018,254.9446636
Operator 11,Well 3893,MBH,8551,28,151,102,3,3709272,63026,8/22/2012,Sleeves,47.93430311,-103.7263628,,660,77.61,480.539119,304.985755,237.5575279,210.0299511,194.0855797
Operator 23,Well 3894,MBH,9368,37,150,99,20,2824626,65915,8/26/2012,OH,47.79145833,-103.3731646,,660,98.86,485.338593,429.026956,352.3285119,305.9208123,272.5016437
Operator 22,Well 3895,MBH,9994,26,149,96,15,3224280,78280.80952,12/12/2012,Sleeves,47.71926508,-102.9429575,SLICKWATER (HC),642.20695,186.92,882.3800131,733.5744028,636.264519,552.7540361,491.9049967
Operator 41,Well 3896,TFH,9462,31,151,101,15,2719106,82953,7/5/2012,P & P,47.90523515,-103.6030827,,660,56.67,230.0788955,217.061144,192.2529038,165.9178903,149.8794653
Operator 11,Well 3897,MBH,9398,36,152,100,30,4515130,86044,6/27/2012,Sleeves,47.96332175,-103.528023,,291.793535,142.71,800.7560815,693.6335744,548.2741617,461.348528,405.6596537
Operator 33,Well 3898,MBH,9556,28,149,94,31,2560300,60911,9/17/2012,Sleeves,47.67513421,-102.7692826,,660,90.37,499.8356345,342.8774929,277.3175542,239.4331215,213.6532983
Operator 23,Well 3899,MBH,9305,32,149,97,30,3526518,50413,3/28/2013,OH,47.7019555,-103.1466783,,660,76.88,510.2235371,405.6980057,310.9577033,250.1789758,215.3216086
Operator 7,Well 39,MBH,9695,21,143,98,34,1194965,78741,6/21/2012,OH,47.15498662,-103.0902342,,660,21.26,104.6022354,90.31339031,77.64080649,66.37811381,57.51150559
Operator 1,Well 390,MBH,10462,1,160,96,11,785000,12053,1/1/2007,No Data,48.70510028,-103.057139,,660,14.72,70.31558185,58.98531668,47.91803638,42.24559866,38.84505808
Operator 18,Well 3900,MBH,9380,29,149,100,15,1424270,39766,5/20/2013,Sleeves,47.7317305,-103.4634483,,660,69.63,405.7527942,292.6035503,230.1391628,197.9143838,174.3096647
Operator 23,Well 3901,MBH,9022,38,150,99,20,3251127,73036,8/22/2012,OH,47.7914587,-103.3732868,,660,85.15,444.7731755,361.8452772,303.5502959,261.5859449,231.2267149
Operator 33,Well 3902,MBH,9743,29,149,94,31,2610760,57654,9/22/2012,Sleeves,47.67517088,-102.7694776,SLICKWATER (HC),660,110.72,627.7120316,485.5467894,370.6223975,316.4621229,283.473044
Operator 23,Well 3903,MBH,9679,32,149,97,30,3524420,48383,3/31/2013,Sleeves,47.70184331,-103.1466018,,660,75.59,481.2952005,373.0111769,284.1387245,238.9290671,210.4070787
Operator 18,Well 3904,MBH,9826,30,149,99,13,1305000,39530,11/27/2012,Sleeves,47.73151905,-103.2877648,,660,98.02,623.7015122,469.2746,354.6570239,295.0105924,257.514245
Operator 12,Well 3905,TFH,8611,38,151,94,8,4215829,65208,5/31/2012,P & P,47.90675994,-102.7462976,,565.052895,181.99,665.9434583,603.3859303,538.8779312,496.7930455,459.5852509
Operator 18,Well 3906,MBH,9391,30,149,101,16,1838417,38801,12/31/2012,Sleeves,47.73165173,-103.6170525,,660,56.17,264.9243918,233.0265176,189.108043,164.8294251,147.4002849
Operator 41,Well 3907,TFH,9454,38,152,98,15,3744323,88593,4/5/2014,P & P,47.99159321,-103.2149328,SLICKWATER (HC),605.233025,117.3,540.0394477,459.9934254,390.3517423,347.98013,315.3380451
Operator 27,Well 3908,MBH,9283,24,148,101,5,3871000,59764,1/23/2013,Sleeves,47.67390151,-103.5753486,CROSSLINKED (HC),660,52.76,251.0848126,201.0081087,176.0628972,152.7649938,136.7822704
Operator 35,Well 3909,MBH,9536,26,152,93,17,3115700,80646,1/14/2013,Sleeves,47.97844188,-102.6140896,,657.061365,128.34,630.0131492,520.3594127,436.8014464,379.8706991,338.0177515
Operator 20,Well 391,TFH,5171,1,163,98,28,932000,10786,1/1/2007,No Data,48.90966146,-103.4201386,,660,15.98,83.5634451,71.99211045,56.74994521,48.67046534,43.92121411
Operator 18,Well 3910,MBH,8843,30,149,99,13,1308692,34294,11/22/2012,Sleeves,47.73151905,-103.2879681,,660,73.75,526.5614727,362.9739207,262.5630068,215.176419,186.6781723
Operator 46,Well 3911,MBH,9041,35,150,102,34,3399880,242686,10/23/2012,P & P,47.76238576,-103.7207553,,521.12702,72.55,388.625904,295.6278764,251.5943458,216.2174008,191.3160202
Operator 18,Well 3912,MBH,9910,30,149,101,16,1841383,37740,12/10/2012,Sleeves,47.73165262,-103.6172558,,660,56.78,282.6101249,248.2138944,204.0324348,169.7165607,146.9017094
Operator 1,Well 3913,TFH,9864,30,152,99,26,2910874,60012,6/29/2012,P & P,47.9629515,-103.320543,CROSSLINKED (HC),660,102.81,621.8277449,496.3510848,395.3758492,327.9969318,278.5393382
Operator 4,Well 3914,MBH,9493,39,149,100,13,3066900,38653,10/1/2012,Sleeves,47.73153428,-103.4140841,LINEAR GEL (HC),660,75.54,569.7896121,359.4455402,272.4468551,228.0626781,199.4603331
Operator 2,Well 3915,TFH,4028,16,153,95,33,1795096,40644,7/11/2012,Sleeves,48.0247446,-102.9007001,SW-XL HYBRID,650.760865,95.73,522.8796844,400,326.2875301,284.7943604,251.9230769
Operator 41,Well 3916,TFH,9707,37,151,100,20,3587177,80221,5/27/2012,P & P,47.87806783,-103.5124327,SLICKWATER (HC),527.59145,70.51,347.6660092,268.5185185,227.4326101,201.1505588,182.6703923
Operator 11,Well 3917,MBH,9987,36,152,100,30,4676411,90282,7/3/2012,Sleeves,47.96332254,-103.5284315,SW-GEL HYBRID,545.29781,154.72,902.1696252,701.884725,563.7793119,478.7493608,423.9590182
Operator 2,Well 3918,TFH,4961,16,153,95,33,1628473,38119,7/9/2012,Sleeves,48.02462123,-102.9006984,CROSSLINKED (HC),623.0306,71.35,403.0243261,364.0368179,286.2973921,236.4562788,200.4766601
Operator 22,Well 3919,TFH,10035,20,149,96,14,3199887,83297,7/13/2012,Sleeves,47.72592837,-102.9396386,SLICKWATER (HC),660,209.05,1088.330046,878.3804515,731.7170721,623.2668566,549.1863905
Operator 21,Well 392,MBH,3793,1,163,97,2,412564,4132.547619,12/24/2005,,48.96805147,-103.235328,CROSSLINKED (HC),660,7.25,52.82708744,43.43633574,36.79596757,33.21645117,30.44871795
